'y-axis saved as y
'x,MoS2_sodio.raw
27.5094882,223
27.5494642,266
27.5894402,256
27.6294162,267
27.6693922,307
27.7093682,278
27.7493442,259
27.7893202,240
27.8292962,251
27.8692722,239
27.9092482,271
27.9492242,255
27.9892002,242
28.0291762,272
28.0691522,240
28.1091282,240
28.1491042,256
28.1890802,248
28.2290562,279
28.2690322,243
28.3090082,252
28.3489842,216
28.3889602,247
28.4289362,245
28.4689122,265
28.5088882,252
28.5488642,269
28.5888402,280
28.6288162,291
28.6687922,267
28.7087682,255
28.7487442,267
28.7887202,276
28.8286962,291
28.8686722,279
28.9086482,280
28.9486242,259
28.9886002,245
29.0285762,240
29.0685522,243
29.1085282,255
29.1485042,283
29.1884802,299
29.2284562,262
29.2684322,257
29.3084082,257
29.3483842,273
29.3883602,254
29.4283362,250
29.4683122,258
29.5082882,244
29.5482642,264
29.5882402,277
29.6282162,260
29.6681922,265
29.7081682,268
29.7481442,277
29.7881202,284
29.8280962,274
29.8680722,239
29.9080482,275
29.9480242,285
29.9880002,260
30.0279762,251
30.0679522,236
30.1079282,293
30.1479042,292
30.1878802,294
30.2278562,277
30.2678322,273
30.3078082,266
30.3477842,275
30.3877602,289
30.4277362,274
30.4677122,255
30.5076882,259
30.5476642,264
30.5876402,255
30.6276162,291
30.6675922,295
30.7075682,293
30.7475442,281
30.7875202,283
30.8274962,285
30.8674722,294
30.9074482,319
30.9474242,301
30.9874002,330
31.0273762,300
31.0673522,320
31.1073282,286
31.1473042,299
31.1872802,302
31.2272562,327
31.2672322,343
31.3072082,357
31.3471842,386
31.3871602,316
31.4271362,338
31.4671122,367
31.5070882,318
31.5470642,355
31.5870402,324
31.6270162,335
31.6669922,362
31.7069682,360
31.7469442,396
31.7869202,368
31.8268962,373
31.8668722,388
31.9068482,403
31.9468242,413
31.9868002,396
32.0267762,418
32.0667522,425
32.1067282,423
32.1467042,437
32.1866802,410
32.2266562,422
32.2666322,416
32.3066082,441
32.3465842,421
32.3865602,430
32.4265362,417
32.4665122,472
32.5064882,433
32.5464642,434
32.5864402,443
32.6264162,438
32.6663922,473
32.7063682,438
32.7463442,446
32.7863202,447
32.8262962,469
32.8662722,460
32.9062482,474
32.9462242,471
32.9862002,431
33.0261762,464
33.0661522,440
33.1061282,455
33.1461042,446
33.1860802,470
33.2260562,505
33.2660322,458
33.3060082,469
33.3459842,485
33.3859603,477
33.4259363,455
33.4659123,452
33.5058883,435
33.5458643,491
33.5858403,472
33.6258163,463
33.6657923,463
33.7057683,476
33.7457443,471
33.7857203,448
33.8256963,511
33.8656723,446
33.9056483,463
33.9456243,502
33.9856003,470
34.0255763,482
34.0655523,467
34.1055283,489
34.1455043,452
34.1854803,491
34.2254563,464
34.2654323,483
34.3054083,479
34.3453843,487
34.3853603,472
34.4253363,459
34.4653123,494
34.5052883,478
34.5452643,475
34.5852403,422
34.6252163,472
34.6651923,479
34.7051683,477
34.7451443,446
34.7851203,494
34.8250963,454
34.8650723,495
34.9050483,483
34.9450243,442
34.9850003,445
35.0249763,455
35.0649523,512
35.1049283,447
35.1449043,452
35.1848803,512
35.2248563,439
35.2648323,499
35.3048083,499
35.3447843,436
35.3847603,437
35.4247363,443
35.4647123,468
35.5046883,419
35.5446643,483
35.5846403,438
35.6246163,450
35.6645923,446
35.7045683,473
35.7445443,473
35.7845203,442
35.8244963,440
35.8644723,493
35.9044483,481
35.9444243,475
35.9844003,483
36.0243763,423
36.0643523,419
36.1043283,462
36.1443043,433
36.1842803,460
36.2242563,426
36.2642323,418
36.3042083,485
36.3441843,451
36.3841603,449
36.4241363,423
36.4641123,441
36.5040883,421
36.5440643,440
36.5840403,402
36.6240163,437
36.6639923,447
36.7039683,419
36.7439443,448
36.7839203,445
36.8238963,419
36.8638723,419
36.9038483,428
36.9438243,416
36.9838003,388
37.0237763,413
37.0637523,392
37.1037283,409
37.1437043,388
37.1836803,418
37.2236563,460
37.2636323,440
37.3036083,450
37.3435843,373
37.3835603,422
37.4235363,405
37.4635123,390
37.5034883,414
37.5434643,398
37.5834403,413
37.6234163,404
37.6633923,393
37.7033683,421
37.7433443,383
37.7833203,426
37.8232963,442
37.8632723,410
37.9032483,425
37.9432243,394
37.9832003,411
38.0231763,404
38.0631523,406
38.1031283,418
38.1431043,406
38.1830803,369
38.2230563,376
38.2630323,418
38.3030083,438
38.3429843,377
38.3829603,390
38.4229363,411
38.4629123,387
38.5028883,426
38.5428643,388
38.5828403,395
38.6228163,403
38.6627923,397
38.7027683,441
38.7427443,375
38.7827203,392
38.8226963,383
38.8626723,395
38.9026483,383
38.9426243,410
38.9826003,400
39.0225763,411
39.0625523,403
39.1025283,369
39.1425043,400
39.1824803,407
39.2224563,379
39.2624323,348
39.3024083,406
39.3423843,374
39.3823603,365
39.4223363,391
39.4623123,372
39.5022883,367
39.5422643,375
39.5822403,406
39.6222163,400
39.6621923,386
39.7021683,380
39.7421443,372
39.7821203,358
39.8220963,337
39.8620723,358
39.9020483,367
39.9420243,369
39.9820003,361
40.0219763,395
40.0619523,384
40.1019283,361
40.1419043,391
40.1818803,341
40.2218563,379
40.2618323,365
40.3018083,366
40.3417843,366
40.3817603,372
40.4217363,366
40.4617123,357
40.5016883,396
40.5416643,345
40.5816403,357
40.6216163,382
40.6615923,380
40.7015683,378
40.7415443,323
40.7815203,355
40.8214963,391
40.8614723,367
40.9014483,360
40.9414243,325
40.9814003,372
41.0213763,390
41.0613523,344
41.1013283,315
41.1413043,335
41.1812803,370
41.2212563,362
41.2612323,329
41.3012083,380
41.3411843,346
41.3811603,360
41.4211363,336
41.4611123,361
41.5010883,375
41.5410643,345
41.5810403,358
41.6210163,330
41.6609923,338
41.7009683,347
41.7409443,350
41.7809203,368
41.8208963,368
41.8608723,368
41.9008483,345
41.9408243,377
41.9808003,358
42.0207763,364
42.0607523,351
42.1007283,356
42.1407043,362
42.1806803,346
42.2206563,329
42.2606323,330
42.3006083,354
42.3405843,328
42.3805603,324
42.4205363,368
42.4605123,336
42.5004883,326
42.5404643,359
42.5804403,348
42.6204163,387
42.6603923,372
42.7003684,367
42.7403444,361
