'y-axis saved as y
'x,MoS2_amonio.raw
28.1491042,311
28.1890802,351
28.2290562,337
28.2690322,320
28.3090082,338
28.3489842,349
28.3889602,336
28.4289362,357
28.4689122,344
28.5088882,311
28.5488642,317
28.5888402,335
28.6288162,321
28.6687922,340
28.7087682,352
28.7487442,352
28.7887202,360
28.8286962,345
28.8686722,322
28.9086482,299
28.9486242,334
28.9886002,336
29.0285762,319
29.0685522,318
29.1085282,332
29.1485042,341
29.1884802,353
29.2284562,339
29.2684322,310
29.3084082,369
29.3483842,347
29.3883602,317
29.4283362,347
29.4683122,360
29.5082882,326
29.5482642,321
29.5882402,336
29.6282162,314
29.6681922,334
29.7081682,321
29.7481442,337
29.7881202,317
29.8280962,316
29.8680722,353
29.9080482,333
29.9480242,354
29.9880002,330
30.0279762,341
30.0679522,361
30.1079282,374
30.1479042,360
30.1878802,330
30.2278562,346
30.2678322,329
30.3078082,314
30.3477842,339
30.3877602,360
30.4277362,367
30.4677122,358
30.5076882,352
30.5476642,375
30.5876402,327
30.6276162,348
30.6675922,397
30.7075682,360
30.7475442,368
30.7875202,346
30.8274962,347
30.8674722,336
30.9074482,339
30.9474242,393
30.9874002,374
31.0273762,370
31.0673522,356
31.1073282,356
31.1473042,374
31.1872802,408
31.2272562,419
31.2672322,414
31.3072082,405
31.3471842,413
31.3871602,411
31.4271362,417
31.4671122,415
31.5070882,432
31.5470642,426
31.5870402,451
31.6270162,448
31.6669922,490
31.7069682,441
31.7469442,420
31.7869202,420
31.8268962,447
31.8668722,435
31.9068482,481
31.9468242,499
31.9868002,460
32.0267762,467
32.0667522,506
32.1067282,514
32.1467042,511
32.1866802,486
32.2266562,510
32.2666322,502
32.3066082,483
32.3465842,501
32.3865602,493
32.4265362,487
32.4665122,530
32.5064882,524
32.5464642,523
32.5864402,472
32.6264162,524
32.6663922,531
32.7063682,499
32.7463442,515
32.7863202,527
32.8262962,531
32.8662722,483
32.9062482,521
32.9462242,548
32.9862002,522
33.0261762,508
33.0661522,515
33.1061282,509
33.1461042,533
33.1860802,510
33.2260562,539
33.2660322,577
33.3060082,513
33.3459842,550
33.3859603,523
33.4259363,530
33.4659123,539
33.5058883,528
33.5458643,488
33.5858403,496
33.6258163,515
33.6657923,542
33.7057683,548
33.7457443,554
33.7857203,549
33.8256963,532
33.8656723,485
33.9056483,507
33.9456243,526
33.9856003,532
34.0255763,513
34.0655523,483
34.1055283,514
34.1455043,518
34.1854803,527
34.2254563,549
34.2654323,573
34.3054083,524
34.3453843,484
34.3853603,513
34.4253363,532
34.4653123,528
34.5052883,490
34.5452643,550
34.5852403,497
34.6252163,477
34.6651923,442
34.7051683,531
34.7451443,548
34.7851203,554
34.8250963,517
34.8650723,502
34.9050483,541
34.9450243,539
34.9850003,473
35.0249763,505
35.0649523,521
35.1049283,543
35.1449043,504
35.1848803,534
35.2248563,533
35.2648323,537
