'y-axis saved as y
'x,MoS2_Up.raw
20.4737121,308
20.5136881,293
20.5536641,283
20.5936401,289
20.6336161,304
20.6735921,293
20.7135681,288
20.7535441,291
20.7935201,283
20.8334961,274
20.8734721,282
20.9134481,272
20.9534241,260
20.9934001,307
21.0333761,273
21.0733521,308
21.1133281,265
21.1533041,267
21.1932801,260
21.2332561,296
21.2732321,277
21.3132081,275
21.3531841,268
21.3931601,269
21.4331361,273
21.4731121,273
21.5130881,267
21.5530641,286
21.5930401,302
21.6330161,297
21.6729921,256
21.7129681,303
21.7529441,280
21.7929201,261
21.8328961,288
21.8728721,243
21.9128481,276
21.9528241,273
21.9928001,274
22.0327761,294
22.0727521,261
22.1127281,270
22.1527041,246
22.1926801,247
22.2326561,274
22.2726321,240
22.3126081,256
22.3525841,219
22.3925601,256
22.4325361,266
22.4725121,247
22.5124881,290
22.5524641,249
22.5924401,259
22.6324161,247
22.6723921,237
22.7123681,270
22.7523441,240
22.7923201,273
22.8322961,274
22.8722721,262
22.9122481,269
22.9522241,250
22.9922001,232
23.0321761,300
23.0721521,275
23.1121281,255
23.1521041,255
23.1920801,255
23.2320561,279
23.2720321,240
23.3120081,242
23.3519841,258
23.3919601,272
23.4319361,250
23.4719121,282
23.5118881,259
23.5518641,224
23.5918401,258
23.6318161,260
23.6717921,221
23.7117681,213
23.7517441,262
23.7917201,226
23.8316961,229
23.8716721,245
23.9116481,240
23.9516241,248
23.9916001,253
24.0315762,230
24.0715522,210
24.1115282,218
24.1515042,245
24.1914802,245
24.2314562,254
24.2714322,243
24.3114082,246
24.3513842,264
24.3913602,234
24.4313362,248
24.4713122,213
24.5112882,220
24.5512642,207
24.5912402,225
24.6312162,243
24.6711922,249
24.7111682,234
24.7511442,224
24.7911202,224
24.8310962,249
24.8710722,216
24.9110482,253
24.9510242,217
24.9910002,187
25.0309762,228
25.0709522,210
25.1109282,232
25.1509042,238
25.1908802,225
25.2308562,208
25.2708322,221
25.3108082,210
25.3507842,244
25.3907602,232
25.4307362,218
25.4707122,239
25.5106882,237
25.5506642,236
25.5906402,231
25.6306162,228
25.6705922,193
25.7105682,218
25.7505442,207
25.7905202,202
25.8304962,204
25.8704722,221
25.9104482,253
25.9504242,214
25.9904002,213
26.0303762,226
26.0703522,252
26.1103282,243
26.1503042,210
26.1902802,208
26.2302562,191
26.2702322,217
26.3102082,226
26.3501842,211
26.3901602,232
26.4301362,213
26.4701122,225
26.5100882,205
26.5500642,211
26.5900402,212
26.6300162,223
26.6699922,188
26.7099682,214
26.7499442,199
26.7899202,220
26.8298962,228
26.8698722,228
26.9098482,210
26.9498242,229
26.9898002,200
27.0297762,203
27.0697522,206
27.1097282,213
27.1497042,201
27.1896802,204
27.2296562,221
27.2696322,196
27.3096082,204
27.3495842,228
27.3895602,206
27.4295362,206
27.4695122,223
27.5094882,193
27.5494642,194
27.5894402,193
27.6294162,186
27.6693922,207
27.7093682,185
27.7493442,227
27.7893202,192
27.8292962,203
27.8692722,212
27.9092482,211
27.9492242,197
27.9892002,207
28.0291762,197
28.0691522,214
28.1091282,201
28.1491042,207
28.1890802,193
28.2290562,185
28.2690322,176
28.3090082,180
28.3489842,200
28.3889602,200
28.4289362,219
28.4689122,215
28.5088882,212
28.5488642,240
28.5888402,207
28.6288162,199
28.6687922,224
28.7087682,199
28.7487442,238
28.7887202,232
28.8286962,264
28.8686722,291
28.9086482,337
28.9486242,402
28.9886002,429
29.0285762,357
29.0685522,310
29.1085282,301
29.1485042,254
29.1884802,207
29.2284562,212
29.2684322,207
29.3084082,192
29.3483842,225
29.3883602,199
29.4283362,206
29.4683122,209
29.5082882,179
29.5482642,214
29.5882402,183
29.6282162,188
29.6681922,201
29.7081682,181
29.7481442,179
29.7881202,165
29.8280962,186
29.8680722,191
29.9080482,180
29.9480242,182
29.9880002,202
30.0279762,209
30.0679522,184
30.1079282,186
30.1479042,172
30.1878802,175
30.2278562,190
30.2678322,177
30.3078082,168
30.3477842,168
30.3877602,184
30.4277362,188
30.4677122,210
30.5076882,209
30.5476642,182
30.5876402,174
30.6276162,183
30.6675922,177
30.7075682,190
30.7475442,187
30.7875202,172
30.8274962,195
30.8674722,177
30.9074482,166
30.9474242,181
30.9874002,190
31.0273762,177
31.0673522,175
31.1073282,182
31.1473042,184
31.1872802,180
31.2272562,174
31.2672322,190
31.3072082,188
31.3471842,199
31.3871602,156
31.4271362,184
31.4671122,191
31.5070882,182
31.5470642,209
31.5870402,202
31.6270162,186
31.6669922,209
31.7069682,186
31.7469442,189
31.7869202,199
31.8268962,221
31.8668722,206
31.9068482,220
31.9468242,220
31.9868002,194
32.0267762,205
32.0667522,203
32.1067282,232
32.1467042,239
32.1866802,223
32.2266562,237
32.2666322,264
32.3066082,244
32.3465842,298
32.3865602,299
32.4265362,386
32.4665122,487
32.5064882,691
32.5464642,1197
32.5864402,2510
32.6264162,4513
32.6663922,3698
32.7063682,2949
32.7463442,2055
32.7863202,939
32.8262962,582
32.8662722,478
32.9062482,389
32.9462242,336
32.9862002,349
33.0261762,288
33.0661522,302
33.1061282,335
33.1461042,331
33.1860802,339
33.2260562,351
33.2660322,402
33.3060082,445
33.3459842,673
33.3859603,976
33.4259363,1750
33.4659123,2050
33.5058883,1612
33.5458643,1294
33.5858403,891
33.6258163,527
33.6657923,419
33.7057683,335
33.7457443,321
33.7857203,293
33.8256963,258
33.8656723,296
33.9056483,260
33.9456243,276
33.9856003,224
34.0255763,218
34.0655523,222
34.1055283,224
34.1455043,213
34.1854803,232
34.2254563,213
34.2654323,228
34.3054083,247
34.3453843,222
34.3853603,227
34.4253363,213
34.4653123,213
34.5052883,201
34.5452643,224
34.5852403,211
34.6252163,237
34.6651923,207
34.7051683,216
34.7451443,209
34.7851203,208
34.8250963,219
34.8650723,209
34.9050483,241
34.9450243,223
34.9850003,220
35.0249763,251
35.0649523,219
35.1049283,232
35.1449043,212
35.1848803,233
35.2248563,248
35.2648323,232
35.3048083,259
35.3447843,276
35.3847603,284
