##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
182,76615	16,31257	93,16631	20	20
183,26678	16,36307	93,16259	20	20
183,77617	16,41357	93,15618	20	20
184,27229	16,46408	93,15195	20	20
184,77292	16,51458	93,14999	20	20
185,28146	16,56508	93,14908	20	20
185,79941	16,61559	93,14908	20	20
186,30418	16,66609	93,14819	20	20
186,80518	16,71659	93,14739	20	20
187,32148	16,7671	93,14662	20	20
187,83576	16,8176	93,14578	20	20
188,34301	16,8681	93,14512	20	20
188,85719	16,91861	93,14267	20	20
189,35613	16,96911	93,14011	20	20
189,87111	17,01961	93,13845	20	20
190,39123	17,07012	93,13679	20	20
190,89273	17,12062	93,13518	20	20
191,39496	17,17112	93,13347	20	20
191,90815	17,22163	93,12975	20	20
192,40973	17,27213	93,11874	20	20
192,9322	17,32263	93,11365	20	20
193,4355	17,37314	93,10934	20	20
193,94439	17,42364	93,10346	20	20
194,44623	17,47414	93,09806	20	20
194,95199	17,52465	93,08238	20	20
195,46899	17,57515	93,07044	20	20
195,97223	17,62565	93,06094	20	20
196,4804	17,67616	93,05694	20	20
196,98797	17,72666	93,05355	20	20
197,50174	17,77716	93,05103	20	20
198,0115	17,82766	93,05081	20	20
198,50617	17,87817	93,05081	20	20
199,02368	17,92867	93,05082	20	20
199,52792	17,97917	93,05003	20	20
200,04656	18,02968	93,04675	20	20
200,55997	18,08018	93,04261	20	20
201,05551	18,13068	93,03939	20	20
201,566	18,18119	93,03604	20	20
202,06509	18,23169	93,03181	20	20
202,57525	18,28219	93,02852	20	20
203,0747	18,3327	93,02338	20	20
203,59001	18,3832	93,01856	20	20
204,10064	18,4337	93,01389	20	20
204,60044	18,48421	93,00354	20	20
205,11217	18,53471	92,99342	20	20
205,62015	18,58521	92,98658	20	20
206,11301	18,63572	92,97903	20	20
206,6173	18,68622	92,97271	20	20
207,12055	18,73672	92,964	20	20
207,6451	18,78723	92,95708	20	20
208,14043	18,83773	92,95051	20	20
208,64106	18,88823	92,94462	20	20
209,16861	18,93874	92,93958	20	20
209,6821	18,98924	92,93216	20	20
210,18293	19,03974	92,92637	20	20
210,68251	19,09025	92,92141	20	20
211,19902	19,14075	92,91646	20	20
211,6954	19,19125	92,90818	20	20
212,20412	19,24176	92,90049	20	20
212,71897	19,29226	92,89167	20	20
213,21223	19,34276	92,88264	20	20
213,72074	19,39327	92,87443	20	20
214,23004	19,44377	92,86669	20	20
214,71855	19,49427	92,86034	20	20
215,21912	19,54478	92,85219	20	20
215,72669	19,59528	92,83743	20	20
216,23092	19,64578	92,82752	20	20
216,73577	19,69629	92,82209	20	20
217,24288	19,74679	92,81525	20	20
217,741	19,79729	92,80868	20	20
218,25003	19,8478	92,80207	20	20
218,75112	19,8983	92,79541	20	20
219,25995	19,9488	92,78974	20	20
219,75406	19,99931	92,78393	20	20
220,26305	20,04981	92,77814	20	20
220,77445	20,10031	92,77481	20	20
221,27584	20,15082	92,76236	20	20
221,78515	20,20132	92,75091	20	20
222,27892	20,25182	92,74192	20	20
222,79543	20,30233	92,73533	20	20
223,32013	20,35283	92,72942	20	20
223,80153	20,40333	92,72024	20	20
224,30912	20,45384	92,71228	20	20
224,82332	20,50434	92,70452	20	20
225,32186	20,55484	92,69258	20	20
225,84172	20,60535	92,68011	20	20
226,33575	20,65585	92,67492	20	20
226,84719	20,70635	92,66185	20	20
227,34492	20,75686	92,65011	20	20
227,83912	20,80736	92,63891	20	20
228,33599	20,85786	92,62259	20	20
228,85631	20,90837	92,60739	20	20
229,35115	20,95887	92,59087	20	20
229,86722	21,00937	92,57602	20	20
230,37988	21,05988	92,56278	20	20
230,86586	21,11038	92,55202	20	20
231,39308	21,16088	92,53451	20	20
231,89655	21,21139	92,52332	20	20
232,38825	21,26189	92,50812	20	20
232,89419	21,31239	92,49433	20	20
233,39451	21,3629	92,48177	20	20
233,90718	21,4134	92,46843	20	20
234,40695	21,4639	92,46085	20	20
234,92179	21,51441	92,44913	20	20
235,43061	21,56491	92,43545	20	20
235,93763	21,61541	92,4241	20	20
236,44153	21,66592	92,40819	20	20
236,94258	21,71642	92,39282	20	20
237,44587	21,76692	92,37923	20	20
237,97946	21,81743	92,36684	20	20
238,46924	21,86793	92,35016	20	20
238,97474	21,91843	92,32877	20	20
239,48384	21,96894	92,31826	20	20
239,98856	22,01944	92,30009	20	20
240,48944	22,06994	92,2827	20	20
240,99948	22,12045	92,25958	20	20
241,50769	22,17095	92,23895	20	20
242,00774	22,22145	92,22065	20	20
242,52974	22,27196	92,19261	20	20
243,02342	22,32246	92,17952	20	20
243,53141	22,37296	92,16253	20	20
244,03242	22,42347	92,14576	20	20
244,54221	22,47397	92,12856	20	20
245,04184	22,52447	92,10843	20	20
245,53511	22,57498	92,09327	20	20
246,0514	22,62548	92,07817	20	20
246,55326	22,67598	92,06038	20	20
247,05594	22,72648	92,04643	20	20
247,5551	22,77699	92,02239	20	20
248,06485	22,82749	92,00752	20	20
248,57853	22,87799	91,98814	20	20
249,0872	22,9285	91,96948	20	20
249,59398	22,979	91,95243	20	20
250,0883	23,0295	91,93061	20	20
250,60009	23,08001	91,91663	20	20
251,09775	23,13051	91,89517	20	20
251,60378	23,18101	91,87538	20	20
252,10497	23,23152	91,85511	20	20
252,61213	23,28202	91,83501	20	20
253,11267	23,33252	91,81521	20	20
253,62956	23,38303	91,79266	20	20
254,12453	23,43353	91,76801	20	20
254,62447	23,48403	91,74345	20	20
255,13972	23,53454	91,71525	20	20
255,6452	23,58504	91,69466	20	20
256,15227	23,63554	91,66976	20	20
256,65293	23,68605	91,63975	20	20
257,15585	23,73655	91,61427	20	20
257,65651	23,78705	91,58816	20	20
258,17274	23,83756	91,56668	20	20
258,67757	23,88806	91,5383	20	20
259,17455	23,93856	91,51358	20	20
259,69723	23,98907	91,4799	20	20
260,18551	24,03957	91,45661	20	20
260,68872	24,09007	91,41623	20	20
261,18535	24,14058	91,40048	20	20
261,69504	24,19108	91,37246	20	20
262,20276	24,24158	91,33498	20	20
262,70531	24,29209	91,31935	20	20
263,2049	24,34259	91,28951	20	20
263,70716	24,39309	91,25446	20	20
264,20638	24,4436	91,22654	20	20
264,71837	24,4941	91,19993	20	20
265,21943	24,5446	91,16868	20	20
265,71759	24,59511	91,13848	20	20
266,21868	24,64561	91,1073	20	20
266,72385	24,69611	91,08285	20	20
267,23108	24,74662	91,0518	20	20
267,73889	24,79712	91,01975	20	20
268,23736	24,84762	90,99304	20	20
268,75082	24,89813	90,95593	20	20
269,24976	24,94863	90,93028	20	20
269,7562	24,99913	90,89798	20	20
270,25753	25,04964	90,86464	20	20
270,76616	25,10014	90,83314	20	20
271,27231	25,15064	90,79844	20	20
271,77655	25,20115	90,76073	20	20
272,28599	25,25165	90,7366	20	20
272,79428	25,30215	90,69306	20	20
273,29806	25,35266	90,66986	20	20
273,8097	25,40316	90,63689	20	20
274,29804	25,45366	90,6007	20	20
274,81812	25,50417	90,57292	20	20
275,33604	25,55467	90,53695	20	20
275,82751	25,60517	90,50501	20	20
276,33294	25,65568	90,4733	20	20
276,83674	25,70618	90,44116	20	20
277,34813	25,75668	90,40827	20	20
277,8515	25,80719	90,36702	20	20
278,35937	25,85769	90,32571	20	20
278,85928	25,90819	90,29776	20	20
279,3794	25,9587	90,264	20	20
279,87999	26,0092	90,22026	20	20
280,39219	26,0597	90,18732	20	20
280,89324	26,11021	90,15177	20	20
281,39976	26,16071	90,11529	20	20
281,90241	26,21121	90,08121	20	20
282,41028	26,26172	90,04373	20	20
282,92086	26,31222	90,01238	20	20
283,43522	26,36272	89,97011	20	20
283,93449	26,41323	89,93726	20	20
284,43609	26,46373	89,90066	20	20
284,93227	26,51423	89,86235	20	20
285,44543	26,56474	89,82564	20	20
285,96183	26,61524	89,77854	20	20
286,46718	26,66574	89,73774	20	20
286,96234	26,71625	89,7024	20	20
287,46415	26,76675	89,65801	20	20
287,97564	26,81725	89,62274	20	20
288,4872	26,86776	89,57482	20	20
288,99801	26,91826	89,53777	20	20
289,48741	26,96876	89,49995	20	20
290,00082	27,01927	89,46193	20	20
290,49078	27,06977	89,41334	20	20
290,99676	27,12027	89,37862	20	20
291,5005	27,17078	89,33431	20	20
292,00679	27,22128	89,29153	20	20
292,51279	27,27178	89,2505	20	20
293,01291	27,32229	89,21341	20	20
293,50187	27,37279	89,17321	20	20
294,01209	27,42329	89,13924	20	20
294,51986	27,4738	89,10633	20	20
295,02585	27,5243	89,05905	20	20
295,53616	27,5748	89,02613	20	20
296,03719	27,62531	88,98562	20	20
296,52518	27,67581	88,94853	20	20
297,03502	27,72631	88,90506	20	20
297,54366	27,77681	88,8656	20	20
298,03658	27,82732	88,83424	20	20
298,5365	27,87782	88,79931	20	20
299,03287	27,92832	88,75792	20	20
299,53287	27,97883	88,72057	20	20
300,03774	28,02933	88,68033	20	20
300,5393	28,07983	88,63382	20	20
301,03299	28,13034	88,59159	20	20
301,53569	28,18084	88,53932	20	20
302,0447	28,23134	88,49913	20	20
302,53087	28,28185	88,45577	20	20
303,03536	28,33235	88,41238	20	20
303,53314	28,38285	88,36989	20	20
304,0472	28,43336	88,33151	20	20
304,54415	28,48386	88,28814	20	20
305,04787	28,53436	88,2477	20	20
305,5343	28,58487	88,19812	20	20
306,05478	28,63537	88,14996	20	20
306,54475	28,68587	88,10848	20	20
307,04139	28,73638	88,06224	20	20
307,54578	28,78688	88,01773	20	20
308,06036	28,83738	87,96918	20	20
308,55626	28,88789	87,91999	20	20
309,05371	28,93839	87,87764	20	20
309,56817	28,98889	87,83657	20	20
310,07509	29,0394	87,79419	20	20
310,57795	29,0899	87,75669	20	20
311,07503	29,1404	87,7227	20	20
311,59658	29,19091	87,67907	20	20
312,09308	29,24141	87,62663	20	20
312,60083	29,29191	87,58125	20	20
313,09519	29,34242	87,54393	20	20
313,62492	29,39292	87,49833	20	20
314,12046	29,44342	87,45602	20	20
314,62259	29,49393	87,41101	20	20
315,14175	29,54443	87,36487	20	20
315,64736	29,59493	87,31289	20	20
316,15869	29,64544	87,25832	20	20
316,66524	29,69594	87,2112	20	20
317,1766	29,74644	87,16292	20	20
317,68101	29,79695	87,11117	20	20
318,19093	29,84745	87,06035	20	20
318,7153	29,89795	87,01209	20	20
319,2276	29,94846	86,95808	20	20
319,72497	29,99896	86,91044	20	20
320,24722	30,04946	86,86584	20	20
320,76668	30,09997	86,82312	20	20
321,26763	30,15047	86,77318	20	20
321,77837	30,20097	86,72728	20	20
322,27488	30,25148	86,67327	20	20
322,79118	30,30198	86,6238	20	20
323,30725	30,35248	86,58769	20	20
323,81169	30,40299	86,53481	20	20
324,32331	30,45349	86,48767	20	20
