##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
603,809	58,40387	69,35903	20	20
605,809	58,60364	69,35903	20	20
607,809	58,80397	69,35823	20	20
609,809	59,00429	69,35667	20	20
611,809	59,20399	69,35556	20	20
613,809	59,40406	69,35382	20	20
615,809	59,60419	69,32071	20	20
617,809	59,80441	69,30679	20	20
619,809	60,00408	69,29726	20	20
621,809	60,20348	69,28441	20	20
623,809	60,4033	69,28619	20	20
625,809	60,60317	69,28068	20	20
627,809	60,80342	69,28148	20	20
629,809	61,00306	69,28227	20	20
631,809	61,20278	69,27945	20	20
633,809	61,40291	69,2462	20	20
635,809	61,60319	69,22187	20	20
637,809	61,80301	69,21475	20	20
639,809	62,0029	69,20313	20	20
641,809	62,20329	69,2054	20	20
643,809	62,40311	69,18651	20	20
645,809	62,603	69,1881	20	20
647,809	62,80275	69,18969	20	20
649,809	63,0027	69,17297	20	20
651,809	63,20257	69,15918	20	20
653,809	63,40223	69,12471	20	20
655,809	63,60253	69,10952	20	20
657,809	63,80281	69,1058	20	20
659,809	64,00283	69,10245	20	20
661,809	64,20306	69,09454	20	20
663,809	64,40268	69,06918	20	20
665,809	64,60227	69,0526	20	20
667,809	64,80256	69,03437	20	20
669,809	65,0028	69,04348	20	20
671,809	65,2027	69,04574	20	20
673,809	65,40208	69,0463	20	20
675,809	65,60228	69,04487	20	20
677,809	65,80204	69,04394	20	20
679,809	66,00198	69,04174	20	20
681,809	66,20211	69,03444	20	20
683,809	66,40219	69,02351	20	20
685,809	66,60228	69,02505	20	20
687,809	66,80312	69,01398	20	20
689,809	67,00378	68,99897	20	20
691,809	67,20318	69,02036	20	20
693,809	67,4023	69,02999	20	20
695,809	67,60179	69,01001	20	20
697,809	67,80154	68,99253	20	20
699,809	68,00109	68,98314	20	20
701,809	68,20102	68,98392	20	20
703,809	68,40095	68,98552	20	20
705,809	68,60003	68,98631	20	20
707,809	68,80003	68,9871	20	20
709,809	68,99994	68,98868	20	20
711,809	69,20069	68,98948	20	20
713,809	69,40108	68,98868	20	20
715,809	69,60122	68,9878	20	20
717,809	69,80198	68,98711	20	20
719,809	70,00154	68,9871	20	20
721,809	70,20183	68,98523	20	20
723,809	70,40145	68,97755	20	20
725,809	70,60092	68,97526	20	20
727,809	70,80086	68,96261	20	20
729,809	71,0001	68,95465	20	20
731,809	71,20044	68,94989	20	20
733,809	71,40096	68,94907	20	20
735,809	71,60068	68,93173	20	20
737,809	71,80074	68,93321	20	20
739,809	72,0003	68,91904	20	20
741,809	72,1999	68,89057	20	20
743,809	72,39991	68,88028	20	20
745,809	72,59991	68,86524	20	20
747,809	72,79992	68,83754	20	20
749,809	73,0003	68,81769	20	20
751,809	73,20077	68,78685	20	20
753,809	73,40086	68,75255	20	20
755,809	73,60157	68,71064	20	20
757,809	73,80194	68,66785	20	20
759,809	74,00248	68,62383	20	20
761,809	74,20347	68,59439	20	20
763,809	74,40372	68,52984	20	20
765,809	74,60277	68,47229	20	20
767,809	74,80177	68,41763	20	20
769,809	75,00031	68,3587	20	20
771,809	75,19795	68,27241	20	20
773,809	75,39206	68,20495	20	20
775,809	75,58725	68,131	20	20
777,809	75,785	68,05367	20	20
779,809	75,98487	67,96841	20	20
781,809	76,18704	67,87081	20	20
783,809	76,39015	67,78976	20	20
785,809	76,59301	67,68151	20	20
787,809	76,79578	67,59893	20	20
789,809	76,99801	67,48204	20	20
791,809	77,19961	67,37672	20	20
793,809	77,40037	67,28392	20	20
795,809	77,60051	67,17149	20	20
797,809	77,79966	67,06911	20	20
799,809	77,99833	66,93661	20	20
801,809	78,19689	66,81983	20	20
803,809	78,39573	66,6813	20	20
805,809	78,59458	66,52562	20	20
807,809	78,79312	66,3413	20	20
809,809	78,99288	66,1741	20	20
811,809	79,19266	65,97496	20	20
813,809	79,39226	65,76389	20	20
815,809	79,59327	65,51491	20	20
817,809	79,7945	65,27713	20	20
819,809	79,99522	65,02012	20	20
821,809	80,19616	64,73488	20	20
823,809	80,39707	64,43326	20	20
825,809	80,5978	64,13201	20	20
827,809	80,79806	63,80331	20	20
829,809	80,99758	63,46664	20	20
831,809	81,19699	63,08546	20	20
833,809	81,39638	62,68685	20	20
835,809	81,59581	62,25179	20	20
837,809	81,79534	61,85011	20	20
839,809	81,99541	61,42726	20	20
841,809	82,19477	60,91399	20	20
843,809	82,3953	60,51942	20	20
845,809	82,59625	59,9813	20	20
847,809	82,79723	59,582	20	20
849,809	82,99874	59,04964	20	20
851,809	83,19819	58,61469	20	20
853,809	83,39944	58,11126	20	20
855,809	83,59935	57,69074	20	20
857,809	83,79889	57,1846	20	20
859,809	83,9989	56,78468	20	20
861,809	84,1983	56,27152	20	20
863,809	84,39792	55,9012	20	20
865,809	84,59753	55,5035	20	20
867,809	84,79724	55,08436	20	20
869,809	84,99757	54,6913	20	20
871,809	85,19686	54,2756	20	20
873,809	85,3968	53,89196	20	20
875,809	85,59686	53,50234	20	20
877,809	85,79644	53,12603	20	20
879,809	85,99614	52,75859	20	20
881,809	86,1958	52,38377	20	20
883,809	86,39561	52,02444	20	20
885,809	86,59568	51,65595	20	20
887,809	86,79599	51,27128	20	20
889,809	86,99684	50,88381	20	20
891,809	87,19644	50,48562	20	20
893,809	87,39668	50,08587	20	20
895,809	87,59629	49,64939	20	20
897,809	87,79579	49,22739	20	20
899,809	87,99515	48,71186	20	20
901,809	88,19481	48,28455	20	20
903,809	88,39469	47,76117	20	20
905,809	88,59464	47,284	20	20
907,809	88,79462	46,71987	20	20
909,809	88,99481	46,17443	20	20
911,809	89,19517	45,62221	20	20
913,809	89,39566	45,02705	20	20
915,809	89,59592	44,40025	20	20
917,809	89,79635	43,76248	20	20
919,809	89,99644	43,11647	20	20
921,809	90,19673	42,40762	20	20
923,809	90,39714	41,66609	20	20
925,809	90,59731	40,86704	20	20
927,809	90,79817	39,99612	20	20
929,809	90,9987	39,10154	20	20
931,809	91,19934	38,16202	20	20
933,809	91,40021	37,07094	20	20
935,809	91,60078	35,91616	20	20
937,809	91,80164	34,67799	20	20
939,809	92,00201	33,38391	20	20
941,809	92,20092	32,12002	20	20
943,809	92,39833	30,92036	20	20
945,809	92,59677	29,74829	20	20
947,809	92,79492	28,63158	20	20
949,809	92,99384	27,48542	20	20
951,809	93,19274	26,35433	20	20
953,809	93,39222	25,20062	20	20
955,809	93,59218	24,0968	20	20
957,809	93,79253	23,00102	20	20
959,809	93,99248	21,97713	20	20
961,809	94,19304	21,04273	20	20
963,809	94,39265	20,19661	20	20
965,809	94,59275	19,41699	20	20
967,809	94,79325	18,73165	20	20
969,809	94,99484	18,13039	20	20
971,809	95,19532	17,56089	20	20
973,809	95,39551	17,11621	20	20
975,809	95,59554	16,73565	20	20
977,809	95,7958	16,3612	20	20
979,809	95,99587	16,03234	20	20
981,809	96,19517	15,73143	20	20
983,809	96,39485	15,50666	20	20
985,809	96,59562	15,31213	20	20
987,809	96,7953	15,1332	20	20
989,809	96,99485	14,97156	20	20
991,809	97,19503	14,81074	20	20
993,809	97,3947	14,65413	20	20
995,809	97,595	14,55141	20	20
997,809	97,7943	14,43844	20	20
