#EXPORTTYPE:                 ;DATA ALL                   
#FILE:                       ;MoS2 NS - Sõdio.ngb-ds3    
#FORMAT:                     ;NETZSCH5                   
#FTYPE:                      ;ASCII                      
#IDENTITY:                   ;MoS2 NS - Sõdio            
#DECIMAL:                    ;COMMA                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;TG                         
#INSTRUMENT:                 ;NETZSCH STA 449F3          
#PROJECT:                    ;-                          
#DATE/TIME:                  ;21/11/2024 13:23:36 (UTC-3)
#CORR. FILE:                 ;Correction.ngb-bs3         
#TEMPCAL:                    ;Cal_08_2024_Ar_5C.ngb-ts3  
#SENSITIVITY:                ;---                        
#LABORATORY:                 ;Proc de Nanocerümicas      
#OPERATOR:                   ;Danilo Janes               
#REMARK:                     ;                           
#SAMPLE:                     ;MoS2 NS - Sõdio            
#SAMPLE MASS /mg:            ;12,6370                    
#MATERIAL:                   ;                           
#REFERENCE:                  ;                           
#REFERENCE MASS /mg:         ;                           
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;0                          
#REFERENCE CRUCIBLE MASS /mg:;                           
#TG RANGE /mg:               ;35000                      
#TAU-R:                      ;---                        
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20oC/10,0(K/min)/1000oC    
#SEGMENT:                    ;S1/1                       
#SEG. 1:                     ;20oC/10,0(K/min)/1000oC    

##Temp./oC;Time/min;Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min)
233,80900;21,40072; 95,59412;20,00000;20,00000
235,80900;21,60040; 95,47643;20,00000;20,00000
237,80900;21,79971; 95,32568;20,00000;20,00000
239,80900;21,99947; 95,18694;20,00000;20,00000
241,80900;22,19941; 95,02770;20,00000;20,00000
243,80900;22,39929; 94,86069;20,00000;20,00000
245,80900;22,59879; 94,70704;20,00000;20,00000
247,80900;22,79900; 94,54508;20,00000;20,00000
249,80900;22,99902; 94,40734;20,00000;20,00000
251,80900;23,19908; 94,20829;20,00000;20,00000
253,80900;23,39996; 94,00812;20,00000;20,00000
255,80900;23,60008; 93,82914;20,00000;20,00000
257,80900;23,80006; 93,66772;20,00000;20,00000
259,80900;23,99945; 93,45810;20,00000;20,00000
261,80900;24,19836; 93,21920;20,00000;20,00000
263,80900;24,39818; 93,04085;20,00000;20,00000
265,80900;24,59728; 92,85176;20,00000;20,00000
267,80900;24,79748; 92,64124;20,00000;20,00000
269,80900;24,99669; 92,41334;20,00000;20,00000
271,80900;25,19667; 92,19668;20,00000;20,00000
273,80900;25,39753; 91,98553;20,00000;20,00000
275,80900;25,59901; 91,76356;20,00000;20,00000
277,80900;25,79988; 91,55357;20,00000;20,00000
279,80900;26,00098; 91,31612;20,00000;20,00000
281,80900;26,20203; 91,10303;20,00000;20,00000
283,80900;26,40366; 90,82252;20,00000;20,00000
285,80900;26,60648; 90,61333;20,00000;20,00000
287,80900;26,80815; 90,39015;20,00000;20,00000
289,80900;27,01001; 90,12423;20,00000;20,00000
291,80900;27,21034; 89,85493;20,00000;20,00000
293,80900;27,41066; 89,64174;20,00000;20,00000
295,80900;27,61099; 89,39996;20,00000;20,00000
297,80900;27,81036; 89,14897;20,00000;20,00000
299,80900;28,00923; 88,92285;20,00000;20,00000
301,80900;28,20837; 88,67629;20,00000;20,00000
303,80900;28,40850; 88,42722;20,00000;20,00000
305,80900;28,60858; 88,19576;20,00000;20,00000
307,80900;28,80863; 87,96289;20,00000;20,00000
309,80900;29,00799; 87,70988;20,00000;20,00000
311,80900;29,20867; 87,45616;20,00000;20,00000
313,80900;29,40880; 87,19123;20,00000;20,00000
315,80900;29,60951; 86,95981;20,00000;20,00000
317,80900;29,81030; 86,71631;20,00000;20,00000
319,80900;30,01025; 86,44579;20,00000;20,00000
321,80900;30,20997; 86,18109;20,00000;20,00000
323,80900;30,41039; 85,95251;20,00000;20,00000
325,80900;30,61061; 85,72261;20,00000;20,00000
327,80900;30,81012; 85,48065;20,00000;20,00000
329,80900;31,00976; 85,23735;20,00000;20,00000
331,80900;31,20947; 85,00667;20,00000;20,00000
333,80900;31,40883; 84,76384;20,00000;20,00000
335,80900;31,60762; 84,55053;20,00000;20,00000
337,80900;31,80709; 84,30608;20,00000;20,00000
339,80900;32,00663; 84,06972;20,00000;20,00000
341,80900;32,20645; 83,84606;20,00000;20,00000
343,80900;32,40614; 83,63902;20,00000;20,00000
345,80900;32,60510; 83,41769;20,00000;20,00000
347,80900;32,80529; 83,17173;20,00000;20,00000
349,80900;33,00512; 82,95347;20,00000;20,00000
351,80900;33,20503; 82,71900;20,00000;20,00000
353,80900;33,40511; 82,46498;20,00000;20,00000
355,80900;33,60511; 82,24512;20,00000;20,00000
357,80900;33,80494; 82,04840;20,00000;20,00000
359,80900;34,00460; 81,82333;20,00000;20,00000
361,80900;34,20503; 81,55781;20,00000;20,00000
363,80900;34,40559; 81,36280;20,00000;20,00000
365,80900;34,60546; 81,15384;20,00000;20,00000
367,80900;34,80594; 80,91878;20,00000;20,00000
369,80900;35,00553; 80,71003;20,00000;20,00000
371,80900;35,20558; 80,51205;20,00000;20,00000
373,80900;35,40576; 80,28182;20,00000;20,00000
375,80900;35,60570; 80,06933;20,00000;20,00000
377,80900;35,80563; 79,78585;20,00000;20,00000
379,80900;36,00590; 79,58429;20,00000;20,00000
381,80900;36,20563; 79,34427;20,00000;20,00000
383,80900;36,40547; 79,11568;20,00000;20,00000
385,80900;36,60573; 78,84026;20,00000;20,00000
387,80900;36,80578; 78,59120;20,00000;20,00000
389,80900;37,00561; 78,32614;20,00000;20,00000
391,80900;37,20616; 78,04385;20,00000;20,00000
393,80900;37,40526; 77,75788;20,00000;20,00000
395,80900;37,60479; 77,47876;20,00000;20,00000
397,80900;37,80460; 77,20887;20,00000;20,00000
399,80900;38,00523; 76,90142;20,00000;20,00000
401,80900;38,20537; 76,61409;20,00000;20,00000
403,80900;38,40518; 76,32324;20,00000;20,00000
405,80900;38,60582; 76,03166;20,00000;20,00000
407,80900;38,80467; 75,74914;20,00000;20,00000
409,80900;39,00486; 75,44836;20,00000;20,00000
411,80900;39,20537; 75,14146;20,00000;20,00000
413,80900;39,40647; 74,82388;20,00000;20,00000
415,80900;39,60708; 74,53554;20,00000;20,00000
417,80900;39,80894; 74,23500;20,00000;20,00000
419,80900;40,00960; 73,93269;20,00000;20,00000
421,80900;40,21024; 73,63263;20,00000;20,00000
423,80900;40,40930; 73,36308;20,00000;20,00000
425,80900;40,60874; 73,05086;20,00000;20,00000
427,80900;40,80787; 72,79161;20,00000;20,00000
429,80900;41,00746; 72,52036;20,00000;20,00000
